,Random_Forest,Linear_Regression,XGBoost,,,,
count,100,100,100,,,,
mean,95.03202872,99.78890239914627,87.62136368071982,,,,
std,2.6449591077216272,14.84282116608493,4.154217555153595,,,,
min,92.02461621621303,88.63547917,80.73993402,,,,
25%,92.79685262427076,90.58668622463543,85.59186308590526,,,,
50%,94.43708888823225,95.07422781202554,85.95600276,,,,
75%,97.40083356,100.48662593927563,91.46621902027275,,,,
max,99.34215599,140.13407588266773,91.64766742184413,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,