X,Random_Forest,Linear_Regression,XGBoost
102,92.79685262427076,98.31196538983376,91.64766742184413
120,95.25639051142171,88.63547917,85.95600276
16,99.34215599,95.07422781202554,91.46367540126934
98,92.02461621621303,90.58668622463543,85.59186308590526
98,92.02461621621303,90.58668622463543,85.59186308590526
98,92.02461621621303,90.58668622463543,85.59186308590526
60,94.43708888823225,100.48662593927563,80.73993402
98,92.02461621621303,90.58668622463543,85.59186308590526
120,95.25639051142171,88.63547917,85.95600276
88,97.40083356,140.13407588266773,91.46621902027275
102,92.79685262427076,98.31196538983376,91.64766742184413
16,99.34215599,95.07422781202554,91.46367540126934
16,99.34215599,95.07422781202554,91.46367540126934
102,92.79685262427076,98.31196538983376,91.64766742184413
88,97.40083356,140.13407588266773,91.46621902027275
60,94.43708888823225,100.48662593927563,80.73993402
16,99.34215599,95.07422781202554,91.46367540126934
60,94.43708888823225,100.48662593927563,80.73993402
120,95.25639051142171,88.63547917,85.95600276
60,94.43708888823225,100.48662593927563,80.73993402
120,95.25639051142171,88.63547917,85.95600276
16,99.34215599,95.07422781202554,91.46367540126934
60,94.43708888823225,100.48662593927563,80.73993402
102,92.79685262427076,98.31196538983376,91.64766742184413
98,92.02461621621303,90.58668622463543,85.59186308590526
16,99.34215599,95.07422781202554,91.46367540126934
98,92.02461621621303,90.58668622463543,85.59186308590526
120,95.25639051142171,88.63547917,85.95600276
16,99.34215599,95.07422781202554,91.46367540126934
88,97.40083356,140.13407588266773,91.46621902027275
98,92.02461621621303,90.58668622463543,85.59186308590526
16,99.34215599,95.07422781202554,91.46367540126934
60,94.43708888823225,100.48662593927563,80.73993402
98,92.02461621621303,90.58668622463543,85.59186308590526
120,95.25639051142171,88.63547917,85.95600276
98,92.02461621621303,90.58668622463543,85.59186308590526
98,92.02461621621303,90.58668622463543,85.59186308590526
16,99.34215599,95.07422781202554,91.46367540126934
60,94.43708888823225,100.48662593927563,80.73993402
60,94.43708888823225,100.48662593927563,80.73993402
60,94.43708888823225,100.48662593927563,80.73993402
16,99.34215599,95.07422781202554,91.46367540126934
88,97.40083356,140.13407588266773,91.46621902027275
102,92.79685262427076,98.31196538983376,91.64766742184413
98,92.02461621621303,90.58668622463543,85.59186308590526
98,92.02461621621303,90.58668622463543,85.59186308590526
88,97.40083356,140.13407588266773,91.46621902027275
102,92.79685262427076,98.31196538983376,91.64766742184413
88,97.40083356,140.13407588266773,91.46621902027275
16,99.34215599,95.07422781202554,91.46367540126934
16,99.34215599,95.07422781202554,91.46367540126934
102,92.79685262427076,98.31196538983376,91.64766742184413
120,95.25639051142171,88.63547917,85.95600276
120,95.25639051142171,88.63547917,85.95600276
16,99.34215599,95.07422781202554,91.46367540126934
102,92.79685262427076,98.31196538983376,91.64766742184413
60,94.43708888823225,100.48662593927563,80.73993402
102,92.79685262427076,98.31196538983376,91.64766742184413
60,94.43708888823225,100.48662593927563,80.73993402
88,97.40083356,140.13407588266773,91.46621902027275
88,97.40083356,140.13407588266773,91.46621902027275
16,99.34215599,95.07422781202554,91.46367540126934
60,94.43708888823225,100.48662593927563,80.73993402
60,94.43708888823225,100.48662593927563,80.73993402
60,94.43708888823225,100.48662593927563,80.73993402
60,94.43708888823225,100.48662593927563,80.73993402
98,92.02461621621303,90.58668622463543,85.59186308590526
98,92.02461621621303,90.58668622463543,85.59186308590526
88,97.40083356,140.13407588266773,91.46621902027275
98,92.02461621621303,90.58668622463543,85.59186308590526
16,99.34215599,95.07422781202554,91.46367540126934
98,92.02461621621303,90.58668622463543,85.59186308590526
120,95.25639051142171,88.63547917,85.95600276
102,92.79685262427076,98.31196538983376,91.64766742184413
60,94.43708888823225,100.48662593927563,80.73993402
88,97.40083356,140.13407588266773,91.46621902027275
102,92.79685262427076,98.31196538983376,91.64766742184413
98,92.02461621621303,90.58668622463543,85.59186308590526
102,92.79685262427076,98.31196538983376,91.64766742184413
102,92.79685262427076,98.31196538983376,91.64766742184413
102,92.79685262427076,98.31196538983376,91.64766742184413
98,92.02461621621303,90.58668622463543,85.59186308590526
102,92.79685262427076,98.31196538983376,91.64766742184413
102,92.79685262427076,98.31196538983376,91.64766742184413
102,92.79685262427076,98.31196538983376,91.64766742184413
16,99.34215599,95.07422781202554,91.46367540126934
102,92.79685262427076,98.31196538983376,91.64766742184413
98,92.02461621621303,90.58668622463543,85.59186308590526
88,97.40083356,140.13407588266773,91.46621902027275
120,95.25639051142171,88.63547917,85.95600276
120,95.25639051142171,88.63547917,85.95600276
120,95.25639051142171,88.63547917,85.95600276
16,99.34215599,95.07422781202554,91.46367540126934
60,94.43708888823225,100.48662593927563,80.73993402
120,95.25639051142171,88.63547917,85.95600276
60,94.43708888823225,100.48662593927563,80.73993402
98,92.02461621621303,90.58668622463543,85.59186308590526
16,99.34215599,95.07422781202554,91.46367540126934
120,95.25639051142171,88.63547917,85.95600276
16,99.34215599,95.07422781202554,91.46367540126934